ds_sale_price_formula,ds_purchase_price_formula,ds_material_alias,vl_quantity_sell,vl_unit_price_sell,cd_alias_language,cd_product_id,lower(ds_category_en),lower(ds_record_type_name)
"","",Kupfer Raff Granulat,2163.00,6.100000,de,60001,copper,wholesale - europe domestic
"","","Kupfer-Nickel, blank",17500.00,13.185830,de,600041,copper,wholesale - europe domestic
"","","Edelstahl, V2A, Nirosta, Niro",14560.00,2.010000,de,18037,stainless steel,wholesale - europe domestic
"","","Edelstahl, V2A, Nirosta, Niro",1484.00,2.060000,de,18037,stainless steel,wholesale - europe domestic
"","","Edelstahl, V4A Schrott",5980.00,2.800000,de,18039,stainless steel,wholesale - europe domestic
"","",FE Schreddermaterial (E40),22560.00,0.585000,de,10025,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23280.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,24820.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,24100.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,24140.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22780.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23440.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23000.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22640.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22560.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,24920.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23060.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23920.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22980.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23040.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23980.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23040.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,24240.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23540.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23100.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23400.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23840.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,25600.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22980.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23360.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23420.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22860.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",FE Schreddermaterial (E40),23340.00,0.585000,de,10025,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,25560.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23080.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23560.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22760.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23380.00,0.585000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,23960.00,0.395000,de,10070,iron and steel,wholesale - europe domestic
"","",Aluminium Schreddermaterial,22640.00,0.395000,de,10070,iron and steel,wholesale - europe domestic
"","",FE Schreddermaterial (E40),25240.00,0.395000,de,10025,iron and steel,wholesale - europe domestic
"","",FE Schreddermaterial (E40),24260.00,0.395000,de,10025,iron and steel,wholesale - europe domestic
"","",FE Schreddermaterial (E40),22780.00,0.395000,de,10025,iron and steel,wholesale - europe domestic
