fk_material_alias,lower(txt_price_formula)
a0g9N0000000WLpQAM,na
a0g9N0000000KHxQAM,0.835/kg
a0g09000001FmGcAAK,80% lme
a0g09000001FmGcAAK,81% lme
a0g09000001F4qfAAC,"2.318,61"
a0g9N0000000CbsQAE,avg. previous month +145€/mt
a0g09000001F4qpAAC,1580€/mt
a0g09000001F4qpAAC,1485 €/mt
a0g9N0000000685QAA,l. lme + 140$
a0g9N0000000685QAA,l. lme + 160$
a0g09000001F4qaAAC,1650
a0g9N0000000685QAA,llme + $ 135
a0g9N0000000685QAA,lme + 170$
a0g9N0000000685QAA,lme + 170$
a0g9N0000000685QAA,lme + 135$
a0g9N0000000685QAA,lme + 170eur
a0g9N0000000685QAA,+175 usd
a0g9N000000068AQAQ,100% lowest lme (up to 1 week after departure)
a0g9N000000068AQAQ,104% lme previous week (15 days after arrival)
a0g9N000000068AQAQ,104% lme previous week to arrival (15 days after arrival)
a0g9N000000068AQAQ,lowest lme + 25usd/mt up to 1 week after departure
a0g09000001F4peAAC,2.16
a0g09000001F4uxAAC,n/a
a0g09000001F4qaAAC,lme -250
a0g09000001F4vuAAC,0.61 eur per kg
a0g09000001FmJ7AAK,lme +90
a0g9N0000000wieQAA,94.8%
a0g09000001F4sMAAS,1.32 per kg
a0g09000001F4tXAAS,96.5% lme up to 1 month after arrival
a0g09000001F4ylAAC,785 eur/mt
a0g09000001F4ylAAC,stock price
a0g9N0000000BThQAM,lme cash media julio + 165€/mt
a0g09000001FmJ7AAK,lme +60€/to
a0g09000001F4tXAAS,lme +50/to
a0g09000001F4rJAAS,1760 usd
a0g09000001F4rJAAS,1820 usd
a0g9N0000000685QAA,llme + 135$
a0g9N0000000685QAA,lme + 175 usd
a0g09000001F4tXAAS,lme +5€/to
a0g9N0000000jv5QAA,fix price
a0g9N0000000jv0QAA,"basis ""bdsv durchschnittliche lagerverkaufspreise"" - 45 euro / to"
a0g9N0000001sZOQAY,525
a0g9N0000001sZOQAY,305
a0g9N0000001sZYQAY,255
a0g9N0000001sZYQAY,465
a0g09000001F4roAAC,"96,9% lme"
a0g09000001F4roAAC,lme - 170
a0g9N0000000KHxQAM,915 eur/mt
a0g09000001F4tYAAS,lme + 150
a0g09000001F4sSAAS,-
a0g9N00000005fuQAA,0.52 per kg
a0g09000001F4sQAAS,-
a0g9N00000005fuQAA,0.48 per kg
a0g9N0000000Y6PQAU,1245
a0g9N0000000IA6QAM,2465
a0g9N0000000685QAA,llme +135% ($)
a0g9N0000000685QAA,lme + 175 usd
a0g09000001F4vjAAC,352.5 e/t
a0g09000001F4vjAAC,278 e / t
a0g09000001F4rnAAC,lme-280
a0g09000001F4vuAAC,1050
a0g9N000000067qQAA,lme +80
a0g9N000000067qQAA,lme +175
a0g09000001FmHpAAK,1750 €/to
a0g09000001FmHpAAK,lme -120
a0g09000001F4qIAAS,lme +40
a0g09000001F4qIAAS,1700 €/to
a0g09000001F4vuAAC,1150
a0g09000001F4tYAAS,lme - 95
a0g09000001F4qIAAS,1600
a0g9N0000000Ff6QAE,1875
a0g09000001F4qaAAC,spot
a0g9N0000000Ff6QAE,102% lme average previous month of delivery
a0g09000001F4v0AAC,4950
a0g09000001F4sJAAS,1140
a0g09000001F4sJAAS,1280
a0g09000001F4v0AAC,5020
a0g09000001F4sSAAS,2445
a0g09000001F4sRAAS,2590
a0g09000001F4sSAAS,2250
a0g09000001F4sSAAS,2350
a0g9N0000000I9SQAU,1130usd/mt for 3mt with 9% ni // 1350usd/mt for 21mt of ss304
a0g9N0000000I9SQAU,1200 usd/mt for 3mt with 9%ni // 1420 usd/mt for 21mt of ss304
a0g09000001F4pRAAS,-
a0g09000001F4qIAAS,1920
a0g09000001F4qIAAS,1920
a0g09000001F4tYAAS,lme + 70 eur/mt
a0g09000001F4roAAC,lme + 110 eur/mt
a0g09000001F4q0AAC,lme +140 €/to
a0g09000001F4q0AAC,2100
a0g09000001F4sbAAC,not known
a0g9N0000000rADQAY,lme +70
a0g09000001F4qIAAS,1950
a0g09000001F4yrAAC,not known
a0g09000001F4tYAAS,lme + 30 eur/mt
a0g9N0000000lyuQAA,1.9
a0g9N000000068AQAQ,lme + 115 usd
a0g09000001F4uuAAC,4770 eur/mt
a0g09000001F4xfAAC,4200 eur/mt
a0g09000001F4tuAAC,6490 eur/mt
a0g9N0000000BThQAM,1.92
a0g09000001F4uuAAC,na
a0g9N0000000FewQAE,na
a0g9N00000005fuQAA,na
a0g9N0000000EVfQAM,"2,470 usd/mt fixed"
a0g9N0000000EVfQAM,na
a0g09000001F4xXAAS,na
a0g9N0000000EVfQAM,"2,650 $/mt"
a0g9N000000047eQAA,na
a0g09000001F4wxAAC,na
a0g09000001F4uuAAC,4925 eur/mt
a0g09000001F4xfAAC,4320 eur/mt
a0g09000001F4tgAAC,6600 eur/mt
a0g09000001F4qgAAC,avg. lme april + 180€/mt
a0g09000001F4quAAC,1410 eur/mt
a0g09000001F4quAAC,1503 €/to
a0g9N0000000wieQAA,lme - 80 eur/mt
a0g9N0000000Ff6QAE,not provided
a0g09000001F4qIAAS,lme +60
a0g09000001F4u6AAC,not provided
a0g9N0000000BThQAM,lme cash august + 100€/mt
a0g09000001F4qIAAS,2000 €/to
a0g9N0000000BThQAM,lme cash august + 190€/mt
a0g9N0000000BThQAM,lme cash august + 100€/mt
a0g9N0000000BThQAM,lme cash august + 190€/mt
a0g9N0000000BThQAM,lme + 125 usd - lowest avg lme previous month of shipment
a0g09000001F4vuAAC,not provided
a0g09000001F4tYAAS,fixed
a0g09000001F4tYAAS,not provided
