product_id,text
30020,Chapas de aluminio puro revestido (serie 1000)
10116,Granulado de plomo
10211,NEW PURE ALUMINUM WIRE AND CABLE
600211,Cu Giessdraht
30012,Chapas desnudas de AlMg (serie 5000)
10203,"Shall consist of old extruded aluminum of one alloy, typically alloy 6063, 6061, or 7075. Material must be free of iron, thermo break, saw chips, zinc corners, dirt, paper, cardboard, and other foreign contamination. Percentages of paint or other alloys to be agreed upon by buyer and seller."
600069,"Iron, Stainless steel - 1.7715, Tubes, Clean"
600202,Edelstahl 1.1231
18072,"Tin, pure, min. 99%"
600094,Aluminiumbronze
600064,"Iron, Pig Iron, Ingot, Clean"
600075,"Iron, E6, Packets, Clean"
600177,Chatarra de acero de baja aleación para fundición 1.6368
600092,"Electrical machines, Compressors, Machine, Other adhesions"
10007,Radiadores de cobre-hierro
10203,"Aluminio 6082, fardos"
18061,"Iron, Old Scrap (E3) 1, Solids, Other contaminations"
10214,"Residuos variados de electrolitos de cobre (99,97 % Cu)"
30004,"Shall consist of miscellaneous, unalloyed copper wire having a nominal 96% copper content (mini­mum 94%) as determined by electrolytic assay. Should be free of the following: Excessively leaded, tinned, soldered copper wire; brass and bronze wire; excessive oil content, iron, and non-metallics; copper wire from burning; insulation; hair wire; brittle burnt wire; and should be reasonably free of ash. Hydrauli­ cally briquetted copper subject to agreement."
600035,"Cliff (>95 % Cu), sólidos, sucio"
600104,"Aluminium, Wrought Alumunium 3005, Bailed, Clean"
600083,"Aluminium, Wrought Aluminium - 6063, Billets, Clean"
18014,Piezas de fundición de Al tol. 2 %
18033,"Copper, Brass 1, Turnings, Clean"
600148,Copper-plated punch steel
600000,Aluminium license plates
600252,"Stainless steel, 1.4313, Shavings, Clean"
10010,Carburadores de zinc
600057,"Aluminium, Whrought Aluminium 1050[45] series, Wire, Clean"
18068,Ebony - Red brass 85% solids
18056,"Gold, Pure gold, Solids, Cased in plastic"
18031,No. 1 COPPER WIRE
18027,"Copper-brass radiator, contaminated"
10062,Chapa de aluminio con un 50 % de adhesivos
10251,COMPOSITION OR RED BRASS
600048,Latón amarillo (Honey)
600110,Stainless steel 1.3981
600042,Brass turnings miscellaneous
600193,"Copper, CuTeP, Solids, Clean"
18010,"Aluminio-cobre, contaminado"
18073,"Zinc, antiguo"
600193,CuTeP - Low alloyed copper tellerium
31074,Aluhülsen
10046,STAINLESS STEEL TURNINGS
10133,"Copper, MS58, Solids, Oxidized (rusted)"
18027,"Copper, Brazed Copper-brass, Radiator, Oxidized (rusted)"
10197,Transformers
600253,"Stainless steel, 1.4313, Briquettes, Clean"
600096,INSULATED COPPER WIRE SCRAP
600203,Stainless Steel 15-7
600039,"Wrought Aluminium 6060 profiles, clean"
10218,Virutas de limado de cobre
600113,5er/6er clean sheets
18054,"CPU, ceramic, miscellaneous"
10018,"Aluminium, Whrought Aluminium 1xxxx series 1, Rolling, Clean"
10202,"Copper, Red brass 1, Wire, Clean"
600140,"Copper, Milberry 3, Solids, cased in zinc"
18037,SAE 304
18045,Circuitos impresos de clase 3
10032,"Shall consist of No. 1 bare, uncoated, unalloyed cop­per wire , commonly known as Bare Bright copper wire. Wire gauge subject to agreement between buyer and seller. Green copper wire and hydrauli­ cally compacted material to be subject to agreement between buyer and seller."
11056,Stainless steel - 1.4057
10193,Aluminium Folie
30022,"Aluminium, Whrought Aluminium 3xxx series 1, Sheets, Other adhesions"
18068,COMPOSITION OR RED BRASS
600202,Kohlenstoffstahl / Blechschrott (C32)
18009,"Aluminium, Aluminium radiator, Solids, Clean"
600052,"Copper, Milberry 4, Solids, Incinerated"
18048,"Silver, Pure silver, Electronics, Cased in plastic"
10118,Low-grade copper
10032,"Copper, Milberry 1, Cable - 38-62, Cased in Aluminium"
600033,"Stainless steel - 316 turnings, clean"
18032,Tournures Laiton CW614N
10059,"Aluminium, Pure aluminium, Cable - 38-62 with plug, Cased in plastic"
18058,MIXED ELECTRIC MOTORS
600255,"Iron, E2+E8 Iron, Punchings, Coated in Zinc"
10036,"Shall consist of new, clean, unalloyed aluminum wire or cable free from hair wire, ACSR, wire screen, iron, insulation and other non-metallic items."
10198,"Copper, Brazed Copper-brass, Solids, Clean"
600094,"Copper, Whrought Aluminium 6262 series, Solids, Clean"
600149,Acero de punzón con bajo manganeso (acero - 1.8928)
18005,"NEW, CLEAN ALUMINUM LITHOGRAPHIC SHEETS"
31017,"Iron, EHRM, Bailed, Other contaminations"
600211,Copper Rod
600177,"Iron, Stainless steel - 1.6368, Solids, Oxidized (rusted)"
600071,"Acero inoxidable - 15MO3, tubos, limpio"
10157,"Insulated aluminum wire, which may or may not contain other wires or metal shielding, with the expected aluminum recovery agreed upon by the buyer The material to be free of other wires and cables unless mutually agreed upon."
18010,"Alu-Kühler, behaftet"
18013,"Aluguss, neu"
18008,"Radiador de aluminio-cobre, contaminado"
60001,"Shall consist of miscellaneous, unalloyed copper wire having a nominal 96% copper content (mini­mum 94%) as determined by electrolytic assay. Should be free of the following: Excessively leaded, tinned, soldered copper wire; brass and bronze wire; excessive oil content, iron, and non-metallics; copper wire from burning; insulation; hair wire; brittle burnt wire; and should be reasonably free of ash. Hydrauli­ cally briquetted copper subject to agreement."
18007,ALUMINUM COPPER RADIATORS
600264,"Iron, E8, Sheets, Coated in Zinc"
600109,"Copper, Miscellaneous copper, Bailed, Cased in Aluminium"
600090,"Iron, Stainless steel - 1.4571, Sheets, Clean"
19556,Scrap soft lead
600080,"Aluminio forjado - 6063, perfiles"
10019,NEW PURE ALUMINUM WIRE AND CABLE
600109,Wärmetauscher
600047,Incinerated 78% yield
10031,"Shall consist of new, clean, unalloyed aluminum wire or cable free from hair wire, ACSR, wire screen, iron, insulation and other non-metallic items."
31026,Acero inoxidable - 1.4859
10139,Modules - mixed materials
18026,MsCu radiators
31056,Hilo capilar de latón
10040,MIXED COMMON BABBITT
10252,Bronzspäne
18037,"Stainless steel, V2a, nirosta, niro"
17967,"Tungsten, Widia Nickel, Dust, Other contaminations"
600150,Fe Stanz verzinnt
18032,"Brass MS58, new, pieces"
600108,Aluminium 6060 turnings
10033,Kupfer-Erdkabel
10118,Cu mit Fe (95%)
600054,Sólidos de latón blanco
600034,Acero inoxidable - X3CrNiMo13-4
18037,STAINLESS STEEL SCRAP
31011,YELLOW BRASS SCRAP
21650,Hartmetall Sägeblätter
10156,End-of-life vehicle
10155,"Cable de cobre, mín. 40% Cu"
600114,Hartmetall mit Fe
10099,"Copper, Milberry 1, Cable - 80-20, Cased in plastic"
18046,Circuitos impresos de clase 2
18045,"Gold, Pure gold, Electronics, On silicon board"
600212,Aerosole cans 
600214,Desox
600066,"Alu 1200 kabel 99.5%, rein"
600271,MS63 tinned
30004,"Copper granules 2 (98,5%)"
600207,Aluminium bulk scrap
30011,AlMn Bleche Blank (3000er)
18047,"Gold, Motherboard, Electronics, Cased in plastic"
600269,"Iron, MIscellaneous iron, Waste, Non-metallic attachments"
10008,Kupfer-Raff 85%
600086,Edelstahl- 1.4306
10156,"Iron, Carbon steel, Solids, Other contaminations"
10005,ALUMINUM EXTRUSION DEALER GRADE
31011,"Copper, MS58, Solids, Clean"
18060,Steel Rail Scrap R65
10063,"Aluminium, Whrought Aluminium 1xxxx series 1, Corrugated sheet, Clean"
18062,"Lead wheel weights, balancing weights"
19468,Slot-CPUs
10194,Aluminium briquettes
18037,Acero inoxidable 304
10143,USB hub
3011,New Ferrous Scrap (Low residuals uncoated (2)) (E2)
18025,Kupfer Haardraht 
18076,Aluminium chips 
18053,"CPU, plastic, contaminated"
10155,"Copper, Milberry 1, Cable - 40-60, Cased in plastic"
600156,Cu Stanz verzinnt
600106,Stainless steel 1.4307
10065,Gießharztrafos
10055,Copper enamelled wire
10018,"Aluminium billets, bare"
10193,Aluminio alimentario
10031,Cable de aluminio al 50 %
10160,"Tin, Pure tin 1, Dust, Clean"
600153,"Iron, Stainless steel - 1.4016, Punchings, Clean"
30052,Old Ferrous Scrap (E3)
600062,"Iron, Stainless steel - 1.4016, Solids, Other contaminations"
18058,"Electrical machines, Engines, Machine, Other casings"
31021,"Aluminium, Aluminium radiator, Radiator, Oxidized (rusted)"
31014,STAINLESS STEEL SCRAP
31082,"Shall consist of clean, unalloyed, uncoated copper clippings, punchings, bus bars, commutator segments, and clean copper tubing. Hydraulically briquetted cop­ per subject to agreement."
600060,Kupfer Leitschienen farbig
10064,Erdkabel mit Bleimantel
10083,Aleación de níquel
600035,"Copper, Milberry 4, Solids, Other contaminations"
30030,AlMgSi1 bare profile
18023,"Copper, Milberry 2, Solids, Clean"
18005,"Aluminium sheet, bare, new"
600219,"Kupfer Flachdraht, lackiert"
31031,"Shall consist of one alloy (typically 6063). Material may contain ""butt ends"" from the extrusion pro­ cess but must be free of any foreign contamination. Anodized material is acceptable. Painted material or alloys other than 6063 must be agreed upon by buyer and seller."
600071,"Iron, Stainless steel 15MO3, Tubes, Clean"
600101,"1.2083 420 Stainless Tool Steel is a martensitic stainless steel with 12% Chromium which is sufficient to give good corrosive resistance properties. It’s best corrosive resistance is when hardened and surface is ground or polished.It has good ductility in the annealed condition but can be hardened up to 500HB (highest of the chromium grades). Martensitic Grades are known for high hardness and allowances must be
made for poor weldability and usually allowances for a final harden and temper treatment. Steel is magnetic and welding is not recommended."
18032,Ms-63 waste / S-CUZN-1-A
10133,Brass - contaminated
600122,Bronze blank
31001,Acero de herramientas 1.2714 (55NiCrMoV7)
10204,"Aluminium, Whrought Aluminium 6xxx series 2, Granules, Clean"
18060,"Old thin steel scrap predominantly less than 6 mm thick in sizes not exceeding 1,5x0,5x0,5 m prepared in a manner to ensure direct charging. If greater density is required it is recommended that maximum 1 metre is specified. May include light vehicle wheels, but must exclude vehicle body scrap and domestic appliances. Must be free of rebars and merchant bars, free of metallic copper, tin, lead (and alloys), mechanical pieces and steriles to meet the aimed analytical contents. Refer to points B) and C) of the general conditions."
10116,"Lead, Unalloyed Lead, Granules, Clean"
600108,Virutas de torneado de aluminio 6060
30013,"Aluminium, Whrought Aluminium 6xxx series 1, Sheets, Clean"
600084,Kupferfolie reinigen
600000,Matrículas de aluminio
600065,Almg3
30020,Pure aluminium sheets coated (1000-series)
18062,Old Ferrous Scrap (E1)
10157,"Aluminium, Aluminium-copper cable, Cable - 70-30, Clean"
10074,Tuberías de latón
30029,"Shall consist of one alloy (typically 6063). Material may contain ""butt ends"" from the extrusion pro­ cess but must be free of any foreign contamination. Anodized material is acceptable. Painted material or alloys other than 6063 must be agreed upon by buyer and seller."
10217,"Shall consist of red brass scrap, valves, machinery bearings and other machinery parts, including mis­ cellaneous castings made of copper, tin, zinc, and/or lead. Shall be free of semi-red brass castings (78% to 81% copper); railroad car boxes and other similar high-lead alloys; cocks and faucets; closed water meters; gates; pot pieces; ingots and burned brass; aluminum, silicon, and manganese bronzes; iron and non-metallics. No piece to measure more than 12"" over any one part or weigh over 100 lbs. Heavier pieces acceptable upon mutual agreement between buyer and seller."
18040,"Virutas de torneado de acero inoxidable, virutas de torneado de nirosta"
10118,Cobre de calidad baja
10127,Kupfer Verhüttung
600060,"Copper, Milberry 1, Overhead cable, Lacquered"
18012,"Alufelgen, behaftet"
18039,"Iron, Stainless steel - 1.4404, Solids, Clean"
27735,"Aluminium, Whrought Aluminium 6xxx series 4, Punchings, Clean"
600266,7m3 Mulde 2
11056,"Iron, Stainless steel - 1.4057, Solids, Clean"
18035,"Brass MS63, new, pieces"
21649,Silver contacts
18001,Mill finish aluminium profiles
18015,SEGREGATED ALUMINUM BORINGS AND TURNINGS
10211,"Aluminium Draht, blank"
18040,"Iron, Stainless steel - 1.4301, Solids, Clean"
31025,"Aluminium, Whrought Aluminium 1xxxx series 1, Disc, Clean"
600085,RSI Ingot
10083,NEW NICKEL SCRAP
600116,Chapas de hierro con revestimiento de Cu al 18 %
18013,Alu-Aluminium (95% Aluguss)
19556,Chatarra de plomo blando
600193,CuTeP
30025,"Aluminium, Whrought Aluminium 6xxx series 1, Sheets, Other contaminations"
10139,Modul - Gemischte Materialien
31012,"Gewebe, gemischt (Bronze Kettseil)"
10040,"Tin, with 50% lead"
600042,Messing Späne gem. 
18002,"Shall consist of old extruded aluminum of one alloy, typically alloy 6063, 6061, or 7075. Material must be free of iron, thermo break, saw chips, zinc corners, dirt, paper, cardboard, and other foreign contamination. Percentages of paint or other alloys to be agreed upon by buyer and seller."
18025,No. 1 COPPER WIRE
600033,"Acero inoxidable, 1.4401, virutas de torneado, limpio"
600208,Aluminium Pistons
600188,Stahl-Stanzteile blank
600218,Electrical Steel
10090,Inducido del cobre
600068,Chatarra de acero de baja aleación para fundición 1.7335
600195,Production iron punchings (E2 / E8)
600088,Edelstahl - 1.4016
10207,"Aluminio 5083, en sólidos"
600079,S690QL
18042,Mobile and smartphone circuit boards
10217,"Copper, Milberry 1, Granules, Tin coating"
600188,High manganese punch steel (over 0.3%) 
10209,Aluminium and steel cable
