txt_material_comments_seller,cd_product_id
AN EW 6005,30030
1.4828,18038
"Zylinder
42 CrMo4
Zylinderaugen
S355
Zylinderrohr
MW450V",18060
Elektro Kupfer,18025
1.2343 und 1.2344,18038
1.4301 und besser,18037
"EN AW-5049 / EN AW-Al Mg2Mn0,8 gemäß DIN EN 573-3:2009-08

blanke Rippenrohe in 3m Stangen",10207
"IPCO1500/1650SM Rostfreier, hochfester martensitischer Stahl",18038
ST37,18061
"Alu-Gußplatten und Profile, G5-S/5083
ALMG 4,5MN
EN-AW-5083",30012
"CuSn10Zn, CuZn25Al5, CuAl10Ni, CuZn25Al5Ni, CuSn12 und CuSn7ZnPb (mit Grafit)",10148
1.4301,10046
1.4542 mit Zertifikat,18037
"Sie sind 26 Boxen aus blank und fabrig Aluminium Profile aufgebaut.
16 Boxen 10m
10 Boxen 6m
gesamte Gewicht ca. 3630 Kg",27735
"Das sind Schrauben, Beilagscheiben und Mutter.",18039
"Es handelt sich um eine alte Messehalle (40 x 40m) besteht aus Fachwerkträgern, Streben und Tragschalen(Trapezblech). 
Die Fachwerkträger bestehen aus Rohre 300mm x 10mm und 150mm x 8mm.",18060
1.4571,10161
"Stahlschrott, mit einigen Stahlgussstücken, Elektromotoren

Standort 65510 Idstein",18060
"1.4849 Gussteile, Lüfterflügel
1.4841 Streckmetall, Führungsgitter",18038
Es handelt sich um Heizkörper aus einem 40 Familienhaus aus dem Baujahr 1975,18060
Textilmaschinen,18060
"Kabelkupfer, Neu",18030
CU,18025
EN 10139 DC04 mit einer Fe/Zn5/Cn/T2 Oberflächenbehandlung nach EN ISO 2081,18060
4404,18039
"Analyse - Millberry

Reinheit: >99,78 %
Kohlenstoff: 0,03 %
Kobalt: 0,001 %
Eisen: 0,005 %
Phosphor: 0,01 %
Schwefel: 0,01 %
Zink: 0,003 %",18025
St 37-2 - ( St 52-3 ),18061
"Installationskabel NYM-I 3x1,5qmm bis 16qmm",18028
"Alles blank cupfer von  Kabel Reste  von E Mobilität Projekt. 
Kabel Mittel Spannung von 70mm²/16mm² Einzel Ader bis 300mm²/16mm2  min 64 % von Gewicht Kupfer",18025
3010,18037
Überwiegend Guss,18060
Werkstoff DC01A Stahl Blech / 1.0330 Material,18060
"Materilanalyse? Ich seh' mir das ganz genau an und halte im Zweifel einen extrem starken Magneten daran,  um etwaige Probleme abzusichern ....",18034
Millberry Blank,18025
99.8,18025
"Kupferband SM1100 (Cu-ETP), 99,9% Cu
(E-Cu nach DIN CW004A), weich,
Festigkeit R200 (RM/Mpa 200 – 250 N/mm²)
gemäß DIN/EN 1652,
Bruchdehnung mind. 30%
max. Ringgewicht ca. 500kg 
Abmessung Breite: 0,20 +/- 0,01 x 1000 -0 + 2mm
Länge ca. 280m",10090
1.4404 mit 3.1 Zeugnis,18039
1.4301,18037
1.4301,18037
"Dx51z100
Dc01",18060
AW5083,18037
Nym kabel ölflex gummikabel etc,18028
